freq,eps.real,eps.imag,sig.real,sig.imag
1.1091127098321342e10,-114651.77023333166,66622555.67612515,41107054.286275856,70742.37249266078
1.1390887290167866e10,-114651.75163099327,64869320.0017462,41107047.61668269,72654.31671785777
1.1690647482014389e10,-114651.73253259885,63205993.57566346,41107040.76923595,74566.26000000941
1.199040767386091e10,-114651.71293814886,61625833.204255,41107033.74393584,76478.20231429925
1.2290167865707434e10,-114651.69284764378,60122753.56644733,41107026.54078252,78390.14363591088
1.2589928057553957e10,-114651.67226108411,58691248.89555495,41107019.159776166,80302.08394002786
1.2889688249400478e10,-114651.65117847043,57326325.589235224,41107011.600917,82214.02320183397
1.3189448441247002e10,-114651.62959980335,56023444.00899482,41107003.8642052,84125.96139651295
1.3489208633093525e10,-114651.60752508334,54778468.039762035,41106995.949640974,86037.89849924855
1.3788968824940048e10,-114651.58495431097,53587621.22864533,41106987.8572245,87949.83448522454
1.4088729016786572e10,-114651.56188748684,52447448.522999294,41106979.586956024,89861.76932962482
1.4388489208633095e10,-114651.5383246116,51354782.79123227,41106971.138835765,91773.70300763335
1.4688249400479616e10,-114651.51426568575,50306715.44310702,41106962.5128639,93685.635494434
1.4988009592326138e10,-114651.48971071006,49300570.575605325,41106953.709040694,95597.56676521091
1.528776978417266e10,-114651.46465968505,48333882.160455465,41106944.72736635,97509.49679514808
1.5587529976019184e10,-114651.43911261148,47404373.8638682,41106935.56784113,99421.42555942971
1.5887290167865707e10,-114651.41306948986,46509941.15083079,41106926.23046522,101333.35303323985
1.618705035971223e10,-114651.386530321,45648635.37781299,41106916.71523892,103245.2791917629
1.6486810551558754e10,-114651.3594951055,44818649.620813966,41106907.02216244,105157.20401018299
1.6786570743405277e10,-114651.33196384416,44018306.02183302,41106897.15123605,107069.12746368462
1.70863309352518e10,-114651.30393653762,43246044.4672905,41106887.102460004,108981.04952745212
1.7386091127098324e10,-114651.27541318661,42500412.437646754,41106876.875834554,110892.97017666999
1.7685851318944843e10,-114651.2463937919,41780055.88926315,41106866.471359976,112804.88938652271
1.7985611510791367e10,-114651.21687835421,41083711.04807693,41106855.88903652,114716.80713219494
1.828537170263789e10,-114651.18686687431,40410197.010455705,41106845.12886448,116628.7233888713
1.8585131894484413e10,-114651.15635935303,39758409.06009823,41106834.190844126,118540.63813173654
1.8884892086330933e10,-114651.12535579118,39127312.62142079,41106823.074975766,120452.55133597551
1.9184652278177456e10,-114651.09385618944,38515937.77981363,41106811.78125964,122364.46297677292
