Pump-probe delay (ps);Path
380.06293006877456;raw_data/22.01.23/20h54m05s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.09-10.94_HWP=40.00_Del=103.96_Dum=90.00.txt
430.09754434849737;raw_data/22.01.23/21h43m33s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.06-10.93_HWP=40.00_Del=96.46_Dum=90.00.txt
480.0654458091805;raw_data/22.01.23/22h33m01s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.03-10.92_HWP=40.00_Del=88.97_Dum=90.00.txt
512.0875989482031;raw_data/21.01.23/13h14m12s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.17-11.02_HWP=40.00_Del=84.17_Dum=90.00.txt
530.1000600889033;raw_data/22.01.23/23h22m28s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.05-10.94_HWP=40.00_Del=81.47_Dum=90.00.txt
580.1346743686262;raw_data/23.01.23/00h11m54s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.05-10.93_HWP=40.00_Del=73.97_Dum=90.00.txt
630.1025758293093;raw_data/23.01.23/01h01m23s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.10-10.93_HWP=40.00_Del=66.48_Dum=90.00.txt
680.1371901090322;raw_data/23.01.23/01h50m51s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.09-10.94_HWP=40.00_Del=58.98_Dum=90.00.txt
730.171804388755;raw_data/23.01.23/02h40m21s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.07-10.94_HWP=40.00_Del=51.48_Dum=90.00.txt
780.1397058494381;raw_data/23.01.23/03h29m49s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.09-10.93_HWP=40.00_Del=43.99_Dum=90.00.txt
830.174320129161;raw_data/23.01.23/04h19m17s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.06-10.93_HWP=40.00_Del=36.49_Dum=90.00.txt
880.1422215898441;raw_data/23.01.23/05h08m44s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.09-10.94_HWP=40.00_Del=29.00_Dum=90.00.txt
930.176835869567;raw_data/23.01.23/05h58m09s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.05-10.92_HWP=40.00_Del=21.50_Dum=90.00.txt
980.2114501492898;raw_data/23.01.23/06h47m39s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.05-10.92_HWP=40.00_Del=14.00_Dum=90.00.txt
