Temperature,HWP,Path
50.00,33.00,raw_data/08.03.23/02h28m51s_F21059_eSRR THz probe chopped xHWP xT 10ps_50.00-50.96_Tem=50.00_HWP=33.00_Del=162.10.txt
50.00,31.00,raw_data/08.03.23/02h34m23s_F21059_eSRR THz probe chopped xHWP xT 10ps_50.00-50.97_Tem=50.00_HWP=31.00_Del=162.10.txt
50.00,29.00,raw_data/08.03.23/02h40m06s_F21059_eSRR THz probe chopped xHWP xT 10ps_50.00-50.97_Tem=50.00_HWP=29.00_Del=162.10.txt
50.00,27.00,raw_data/08.03.23/02h45m40s_F21059_eSRR THz probe chopped xHWP xT 10ps_50.00-50.97_Tem=50.00_HWP=27.00_Del=162.10.txt
50.00,25.00,raw_data/08.03.23/02h51m20s_F21059_eSRR THz probe chopped xHWP xT 10ps_50.00-50.98_Tem=50.00_HWP=25.00_Del=162.10.txt
100.00,65.00,raw_data/08.03.23/03h09m51s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.81_Tem=100.00_HWP=65.00_Del=162.10.txt
100.00,63.00,raw_data/08.03.23/03h15m28s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=63.00_Del=162.10.txt
100.00,61.00,raw_data/08.03.23/03h20m57s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=61.00_Del=162.10.txt
100.00,59.00,raw_data/08.03.23/03h26m32s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=59.00_Del=162.10.txt
100.00,57.00,raw_data/08.03.23/03h32m12s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=57.00_Del=162.10.txt
100.00,55.00,raw_data/08.03.23/03h37m42s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=55.00_Del=162.10.txt
100.00,53.00,raw_data/08.03.23/03h43m11s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=53.00_Del=162.10.txt
100.00,51.00,raw_data/08.03.23/03h48m41s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=51.00_Del=162.10.txt
100.00,49.00,raw_data/08.03.23/03h54m17s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=49.00_Del=162.10.txt
100.00,47.00,raw_data/08.03.23/03h59m56s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=47.00_Del=162.10.txt
100.00,45.00,raw_data/08.03.23/04h05m29s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=45.00_Del=162.10.txt
100.00,43.00,raw_data/08.03.23/04h11m13s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=43.00_Del=162.10.txt
100.00,41.00,raw_data/08.03.23/04h16m44s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=41.00_Del=162.10.txt
100.00,39.00,raw_data/08.03.23/04h22m15s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=39.00_Del=162.10.txt
100.00,37.00,raw_data/08.03.23/04h28m37s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=37.00_Del=162.10.txt
100.00,35.00,raw_data/08.03.23/04h34m11s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=35.00_Del=162.10.txt
100.00,33.00,raw_data/08.03.23/04h39m42s_F21059_eSRR THz probe chopped xHWP xT 10ps_100.00-100.80_Tem=100.00_HWP=33.00_Del=162.10.txt
