freq,value.real,value.imag
0.0,2043494.4298306433,0.0
0.04990019960079872,-880288.9833277329,-1078649.5718844035
0.09980039920159745,178805.13828403043,281681.13716142054
0.14970059880239617,-734969.4864008097,-406112.374801218
0.1996007984031949,557609.5860258925,1552893.8850754758
0.2495009980039936,1523965.8366775527,-2856029.6600845517
0.29940119760479234,-5805529.964747125,-357906.7726533028
0.34930139720559106,1422266.8847760446,8838616.84233055
0.3992015968063898,11811515.155532196,-3193457.2825323795
0.4491017964071885,-4625832.5415528305,-14758307.580216475
0.4990019960079872,-17564011.970850054,5481505.047110889
0.548902195608786,5484348.537449965,20413177.182681695
0.5988023952095847,23628288.221686795,-4825393.4154244345
0.6487025948103834,-3822652.1011067433,-27284350.5686817
0.6986027944111821,-31412700.800226424,2770812.279154558
0.7485029940119808,1978010.2401422216,35883692.668188594
0.7984031936127796,40370208.29226875,-1499562.9596365017
0.8483033932135783,-1025473.2687731325,-44787946.99293542
0.898203592814377,-49452088.41249495,554548.5259401381
0.9481037924151757,418457.50163716776,54391081.21584481
0.9980039920159745,59492386.566607416,-1011200.8584691603
1.047904191616773,-2778228.5725758793,-63958551.73460713
1.097804391217572,-66778490.26634753,4833560.2286620345
1.1477045908183707,5765909.916209191,68546900.1073155
1.1976047904191693,70856761.59312358,-5502441.672859905
1.247504990019968,-5381712.247660041,-74609700.6871564
1.2974051896207668,-79276827.66104855,6953894.673431701
1.3473053892215656,10846850.946059078,83080567.73080912
1.3972055888223642,84490415.72262704,-15606030.84527896
1.4471057884231628,-19665152.992537938,-84219379.81595495
1.4970059880239617,-83103947.81310308,22974956.077936325
1.5469061876247605,25722329.1847888,81683022.13587375
1.5968063872255591,79693156.4069148,-28686474.579043955
1.6467065868263577,-31017886.837431483,-76384336.53148496
1.6966067864271566,-73199293.1700448,32476256.64645962
1.7465069860279554,34947901.23000174,69500321.31364478
1.796407185628754,63033307.23238957,-37089705.80074264
1.8463073852295526,-36285191.384957194,-55080207.30967094
1.8962075848303515,-48373792.390771374,32825713.377065025
1.9461077844311503,29029214.274268538,43773558.01784645
1.996007984031949,39545666.727453075,-26170405.409254488
2.0459081836327475,-22884982.344897635,-34534605.28134522
2.095808383233546,-29614657.024002057,18011637.066463187
2.145708582834345,11489976.971448157,26106291.346634097
2.195608782435144,25134091.485952713,-4445360.780049655
2.2455089820359424,1501218.8736620133,-26445590.233757623
2.2954091816367415,-28834869.204671815,-5554375.366894158
2.34530938123754,-8160436.219499023,31102582.848416656
2.3952095808383387,33402908.011987045,10252251.551492902
2.4451097804391373,11404717.370991701,-36413802.14158897
2.495009980039936,-39515303.14367697,-10688895.374357741
2.544910179640735,-8089967.263034333,41274355.557750545
2.5948103792415336,40205342.26198727,5208257.570583656
2.644710578842332,4913247.620798923,-37753166.83948658
2.6946107784431312,-36991027.67953406,-5773090.594621094
2.74451097804393,-6151352.235808056,36297385.22797888
2.7944111776447285,36358700.699100256,7657951.618760023
2.844311377245527,8003964.787389971,-38307895.05525185
2.8942115768463257,-39952877.46950123,-6552441.425584891
2.9441117764471247,-4261552.424155757,40418279.780731216
2.9940119760479234,39858126.049861506,2960417.989713756
3.043912175648722,1887883.8141613433,-40953834.33027956
3.093812375249521,-41628848.82949895,1652199.6152661017
3.1437125748503196,4975882.581822458,40023485.984649986
3.1936127744511182,38223532.43731117,-7287512.628458463
3.243512974051917,-9584551.02171788,-36190258.05973662
3.2934131736527155,-33538460.29186783,11226959.513432283
3.3433133732535145,11857982.283935647,31304133.006455105
3.393213572854313,29883399.315413065,-12667387.950366478
3.4431137724551117,-14004332.715180252,-28250329.729249462
3.493013972055911,-26049628.574455936,15304115.700756904
3.5429141716567094,16178084.848800901,23331954.0455036
3.592814371257508,20341196.768225733,-16178619.167424813
3.6427145708583066,-15102456.739730073,-18114830.102599047
3.6926147704591052,-17231151.210436296,14562370.596105717
3.7425149700599043,14937047.423118612,15711791.515253788
3.792415169660703,13853967.433253955,-14259505.980242241
3.8423153692615015,-13519733.665375698,-13209082.680811964
3.8922155688623006,-12429323.734009806,13666283.406971522
3.942115768463099,13383961.91560028,11224738.879156945
3.992015968063898,10738552.178768551,-13029134.930253847
4.041916167664697,-13614398.346119434,-10188594.546453174
4.091816367265495,-8598159.663417632,14249865.439459885
4.141716566866294,13839865.06686375,6734399.799075684
4.191616766467092,5831604.506780885,-13000375.86946399
4.241516966067891,-12926713.227458762,-5295272.107119286
4.29141716566869,-4172790.4806120424,13080904.21205492
4.3413173652694885,12873392.624410694,2726614.7736558486
4.391217564870288,1185962.6096011307,-12206973.814434698
4.441117764471087,-10901238.421728041,144569.74932049308
