Set temperature,Get temperature,HWP,Path
75,76.28,38,raw_data/02.03.23/03h47m15s_1D scan xHWP_75.00-76.28_Tem=75.00_HWP=38.00_Sam=9.33.txt
75,76.28,41,raw_data/02.03.23/03h59m32s_1D scan xHWP_75.00-76.28_Tem=75.00_HWP=41.00_Sam=9.33.txt
75,76.28,44,raw_data/02.03.23/04h11m52s_1D scan xHWP_75.00-76.28_Tem=75.00_HWP=44.00_Sam=9.33.txt
75,76.27,47,raw_data/02.03.23/04h24m24s_1D scan xHWP_75.00-76.27_Tem=75.00_HWP=47.00_Sam=9.33.txt
75,76.27,50,raw_data/02.03.23/04h37m12s_1D scan xHWP_75.00-76.27_Tem=75.00_HWP=50.00_Sam=9.33.txt
75,76.27,53,raw_data/02.03.23/04h49m33s_1D scan xHWP_75.00-76.27_Tem=75.00_HWP=53.00_Sam=9.33.txt
75,76.27,56,raw_data/02.03.23/05h01m54s_1D scan xHWP_75.00-76.27_Tem=75.00_HWP=56.00_Sam=9.33.txt
75,76.27,59,raw_data/02.03.23/05h14m11s_1D scan xHWP_75.00-76.27_Tem=75.00_HWP=59.00_Sam=9.33.txt
75,76.27,62,raw_data/02.03.23/05h26m28s_1D scan xHWP_75.00-76.27_Tem=75.00_HWP=62.00_Sam=9.33.txt
75,76.27,65,raw_data/02.03.23/05h38m45s_1D scan xHWP_75.00-76.27_Tem=75.00_HWP=65.00_Sam=9.33.txt
100,101.16,35,raw_data/02.03.23/06h00m06s_1D scan xHWP_100.00-101.16_Tem=100.00_HWP=35.00_Sam=9.33.txt
100,101.15,38,raw_data/02.03.23/06h12m23s_1D scan xHWP_100.00-101.15_Tem=100.00_HWP=38.00_Sam=9.33.txt
100,101.14,41,raw_data/02.03.23/06h24m39s_1D scan xHWP_100.00-101.14_Tem=100.00_HWP=41.00_Sam=9.33.txt
100,101.14,44,raw_data/02.03.23/06h36m58s_1D scan xHWP_100.00-101.14_Tem=100.00_HWP=44.00_Sam=9.33.txt
100,101.14,47,raw_data/02.03.23/06h49m20s_1D scan xHWP_100.00-101.14_Tem=100.00_HWP=47.00_Sam=9.33.txt
100,101.14,50,raw_data/02.03.23/07h01m37s_1D scan xHWP_100.00-101.14_Tem=100.00_HWP=50.00_Sam=9.33.txt
100,101.14,53,raw_data/02.03.23/07h13m53s_1D scan xHWP_100.00-101.14_Tem=100.00_HWP=53.00_Sam=9.33.txt
100,101.14,56,raw_data/02.03.23/07h26m13s_1D scan xHWP_100.00-101.14_Tem=100.00_HWP=56.00_Sam=9.33.txt
100,101.14,59,raw_data/02.03.23/07h38m38s_1D scan xHWP_100.00-101.14_Tem=100.00_HWP=59.00_Sam=9.33.txt
100,101.13,62,raw_data/02.03.23/07h50m52s_1D scan xHWP_100.00-101.13_Tem=100.00_HWP=62.00_Sam=9.33.txt
100,101.13,65,raw_data/02.03.23/08h03m07s_1D scan xHWP_100.00-101.13_Tem=100.00_HWP=65.00_Sam=9.33.txt
