temperature,direction,R,data_type,rho,sigma
24.717,-1,9469.03,raw,0.00047208759569142554,2118.2509541166555
24.758,-1,9452.55,raw,0.00047126596944491503,2121.9440079194756
24.796,-1,9432.41,raw,0.0004702618703790946,2126.4747643560063
24.846,-1,9412.27,raw,0.0004692577713132743,2131.024910256424
24.911,-1,9381.14,raw,0.0004677057552299084,2138.0964181388654
24.978,-1,9352.46,raw,0.0004662758862523647,2144.6530465844535
25.029,-1,9328.65,raw,0.00046508881580761873,2150.126956425553
25.094,-1,9297.52,raw,0.0004635367997242529,2157.3260215691103
25.142,-1,9276.16,raw,0.0004624718763853292,2162.2936465152857
25.182,-1,9260.29,raw,0.00046168066227537046,2165.999318818226
25.222,-1,9238.93,raw,0.00046061573893644675,2171.0070140221037
25.259,-1,9222.45,raw,0.00045979411268993624,2174.886481581276
25.302,-1,9205.97,raw,0.0004589724864434258,2178.7798387415164
25.341,-1,9185.83,raw,0.0004579683873776054,2183.5568296015967
25.388,-1,9166.3,raw,0.00045699470044833666,2188.209182773773
25.44,-1,9141.27,raw,0.00045574680573048736,2194.200787424421
25.476,-1,9129.68,raw,0.00045516897513600584,2196.9862943782514
25.517,-1,9108.92,raw,0.00045413396537401815,2201.9934121783085
25.567,-1,9085.12,raw,0.0004529473934888879,2207.7619043071786
25.626,-1,9063.15,raw,0.00045185205801341247,2213.113744344873
25.696,-1,9031.41,raw,0.00045026962979349486,2220.8915143991067
25.749,-1,9008.83,raw,0.00044914388218146784,2226.458023079494
25.778,-1,8996.01,raw,0.0004485047287542674,2229.630895481356
25.805,-1,8983.8,raw,0.00044789598746361854,2232.661215973111
25.843,-1,8967.93,raw,0.0004471047733536598,2236.6122206639925
25.868,-1,8957.56,raw,0.0004465877670322816,2239.201504880708
25.893,-1,8947.18,raw,0.00044607026215128773,2241.799296768282
25.917,-1,8933.14,raw,0.000445370284450984,2245.3226784825083
25.954,-1,8915.44,raw,0.0004444878339313703,2249.7803621648773
25.977,-1,8908.12,raw,0.0004441228882927503,2251.6290566426173
26.012,-1,8893.47,raw,0.0004433924984558948,2255.33811122759
26.041,-1,8881.26,raw,0.00044278375716524606,2258.438761173441
26.066,-1,8871.5,raw,0.00044229716298041944,2260.9233874834285
26.089,-1,8862.95,raw,0.0004418708945090806,2263.1044778611226
26.142,-1,8841.59,raw,0.0004408059711701569,2268.5718102806436
26.185,-1,8825.72,raw,0.0004400147570601981,2272.6510507991684
26.213,-1,8810.46,raw,0.000439253955086791,2276.587355491
26.249,-1,8797.04,raw,0.0004385848880826545,2280.0603193868888
26.28,-1,8783.61,raw,0.00043791532251890236,2283.5464953543287
26.313,-1,8769.57,raw,0.0004372153448185985,2287.202432053024
26.339,-1,8757.97,raw,0.00043663701566450135,2290.231849624883
26.368,-1,8746.99,raw,0.0004360895972065715,2293.1067523867337
26.39,-1,8737.22,raw,0.0004356025044621293,2295.6709150117817
26.441,-1,8717.08,raw,0.00043459840539630893,2300.974848465224
26.48,-1,8703.04,raw,0.0004338984276960052,2304.6868487401225
26.503,-1,8691.44,raw,0.000433320098541908,2307.7627909827643
26.539,-1,8679.85,raw,0.00043274226794742647,2310.8442924773162
26.567,-1,8667.03,raw,0.000432103114520226,2314.2624211591783
26.6,-1,8652.38,raw,0.0004313727246833705,2318.180874170949
26.629,-1,8640.79,raw,0.00043079489408888905,2321.2902792521554
26.665,-1,8629.8,raw,0.00043024697707134344,2324.2464288928177
26.692,-1,8618.81,raw,0.00042969906005379795,2327.2101174128725
26.712,-1,8610.27,raw,0.0004292732901420748,2329.518334739704
26.739,-1,8597.45,raw,0.00042863413671487434,2332.991972277737
26.775,-1,8585.24,raw,0.0004280253954242255,2336.3099729371847
26.8,-1,8576.7,raw,0.0004275996255125022,2338.6362857578365
26.836,-1,8560.83,raw,0.0004268084114025434,2342.9716314959223
26.86,-1,8553.5,raw,0.00042644296720430793,2344.9794624492006
26.889,-1,8538.86,raw,0.0004257130759270681,2348.9999639365483
26.91,-1,8532.14,raw,0.0004253780438653842,2350.850060132538
26.95,-1,8514.44,raw,0.0004244955933457705,2355.737057523364
26.976,-1,8506.51,raw,0.0004241002355705989,2357.9331396846924
27.012,-1,8490.64,raw,0.0004233090214606401,2362.340392721778
27.036,-1,8483.31,raw,0.0004229435772624046,2364.3815718227006
27.061,-1,8471.11,raw,0.0004223353345313714,2367.7867283106034
27.085,-1,8461.95,raw,0.00042187865392348084,2370.349840410217
27.117,-1,8450.36,raw,0.0004213008233289993,2373.600868135705
27.142,-1,8441.81,raw,0.0004208745548576604,2376.00488900594
27.175,-1,8428.99,raw,0.00042023540143046,2379.61865325018
27.2,-1,8418.62,raw,0.00041971839510908176,2382.549851645428
27.237,-1,8405.8,raw,0.0004190792416818812,2386.1835675437483
27.258,-1,8396.64,raw,0.00041862256107399077,2388.7866851573053
27.281,-1,8388.1,raw,0.0004181967911622676,2391.2187303512396
27.309,-1,8374.67,raw,0.00041752722559851535,2395.0533969767453
27.352,-1,8363.08,raw,0.00041694939500403383,2398.372589053224
27.39,-1,8345.38,raw,0.0004160669444844201,2403.459378968871
27.414,-1,8338.66,raw,0.00041573191242273624,2405.3962905381964
27.451,-1,8324.01,raw,0.0004150015225858808,2409.629713570651
27.473,-1,8314.86,raw,0.00041454534053760587,2412.2813651774336
27.509,-1,8300.82,raw,0.0004138453628373021,2416.361495859353
27.531,-1,8291.05,raw,0.0004133582700928599,2419.208885733319
27.569,-1,8277.63,raw,0.00041268920308872335,2423.130996681325
27.59,-1,8270.3,raw,0.00041232375889048786,2425.278627384646
27.635,-1,8253.21,raw,0.0004114717205074257,2430.3006747749346
27.666,-1,8239.17,raw,0.000410771742807122,2434.4420411351184
27.696,-1,8230.63,raw,0.0004103459728953987,2436.967988119893
27.734,-1,8217.2,raw,0.00040967640733164664,2440.950911753302
27.763,-1,8206.83,raw,0.0004091594010102683,2444.035252595611
27.787,-1,8197.06,raw,0.0004086723082658261,2446.948275608479
27.811,-1,8188.51,raw,0.00040824603979448733,2449.50324687388
27.85,-1,8171.42,raw,0.0004073940014114253,2454.6262255592337
27.876,-1,8163.49,raw,0.00040699864363625366,2457.010645209247
27.899,-1,8158.61,raw,0.00040675534654384035,2458.4802842713693
27.926,-1,8148.23,raw,0.0004062378416628465,2461.6121331944773
27.977,-1,8126.87,raw,0.00040517291832392285,2468.0820330655265
28.009,-1,8115.88,raw,0.00040462500130637735,2471.424150191875
28.036,-1,8107.95,raw,0.0004042296435312058,2473.8413325266233
28.069,-1,8096.35,raw,0.0004036513143771086,2477.385714804725
28.094,-1,8087.2,raw,0.0004031951323288337,2480.188672477401
