HWP,Delay,t,Path
30.0,160.53,19.9433,raw_data/03.02.23/14h55m47s_ZnTe F21059 transmission xPP xHWP_2.98-4.72_HWP=30.00_Del=160.53.txt
30.0,161.27,15.0075,raw_data/05.02.23/09h29m20s_ZnTe F21059 transmission xPP xHWP_Del=161.27_HWP=30.00.txt
30.0,162.02,10.005,raw_data/05.02.23/01h59m30s_ZnTe F21059 transmission xPP xHWP_Del=162.02_HWP=30.00.txt
30.0,162.76,5.0692,raw_data/04.02.23/12h06m22s_ZnTe F21059 transmission xPP xHWP_HWP=30.00_Del=162.76.txt
30.0,162.77,5.0025,raw_data/05.02.23/05h44m25s_ZnTe F21059 transmission xPP xHWP_Del=162.77_HWP=30.00.txt
30.0,165.0,-9.8716,raw_data/03.02.23/14h36m20s_ZnTe F21059 transmission xPP xHWP_2.98-4.72_HWP=30.00_Del=165.00.txt
30.0,171.0,-49.8916,raw_data/06.02.23/01h35m58s_ZnTe F21059 transmission xPP xHWP_2.98-4.70_HWP=30.00_Del=171.00.txt
35.0,0.0,1090.6784,raw_data/04.02.23/05h15m10s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=0.00.txt
35.0,51.69,745.9061,raw_data/04.02.23/22h27m19s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=51.69.txt
35.0,51.69,745.9061,raw_data/05.02.23/18h55m09s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=51.69.txt
35.0,103.37,401.2005,raw_data/04.02.23/04h48m25s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=103.37.txt
35.0,122.38,274.4038,raw_data/04.02.23/22h01m52s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=122.38.txt
35.0,122.38,274.4038,raw_data/05.02.23/16h54m13s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=122.38.txt
35.0,141.39,147.6071,raw_data/04.02.23/04h21m41s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=141.39.txt
35.0,148.38,100.9838,raw_data/04.02.23/21h36m27s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=148.38.txt
35.0,148.38,100.9838,raw_data/05.02.23/16h22m05s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=148.38.txt
35.0,152.28,74.9708,raw_data/06.02.23/13h34m40s_ZnTe F21059 transmission xPP xHWP_2.98-4.69_HWP=35.00_Del=152.28.txt
35.0,155.38,54.2938,raw_data/04.02.23/03h54m58s_ZnTe F21059 transmission xPP xHWP_HWP=35.00_Del=155.38.txt
