% Model:              model.mph
% Version:            COMSOL 6.1.0.357
% Date:               Sep 7 2023, 08:17
% Dimension:          1
% Nodes:              156
% Expressions:        1
% Description:        Line graph
% z (µm)                  Electric field, y-component
-10                       2.7286417578677647E-6
-9.911500760661365        2.8130728096553652E-6
-9.572958257344093        3.1374067830507487E-6
-9.234415754026827        3.4638872397380693E-6
-8.895873250709554        4.06556357355071E-6
-8.582961160994564        4.513862494933943E-6
-8.270049071279574        5.250069055513482E-6
-7.957136981564587        5.991587125780636E-6
-7.644224891849599        6.738416705735406E-6
-7.331312802134608        7.490557795377809E-6
-7.018400712419619        8.24801039470781E-6
-6.70548862270463         9.010774503725443E-6
-6.392576532989641        9.778850122430697E-6
-6.079664443274651        1.1385673451731918E-5
-5.840111967209368        1.2798997139469906E-5
-5.600559491144082        1.4266498672739926E-5
-5.3610070150788          1.573923661973815E-5
-5.1214545390135156       1.72172109804646E-5
-4.881902062948233        1.8700421754919272E-5
-4.642349586882951        2.018886894310214E-5
-4.402797110817666        2.168255254501326E-5
-4.16324463475238         2.318147256065259E-5
-3.9236921586870976       2.468562899002013E-5
-3.7641444563404254       2.899002458713432E-5
-3.604596753993754        3.149957725650807E-5
-3.445049051647081        3.401088382303598E-5
-3.2855013493004095       3.652394428671802E-5
-3.1259536469537355       3.903875864755424E-5
-2.966405944607063        4.1555326905544556E-5
-2.806858242260391        4.407364906068904E-5
-2.647310539913718        4.659372511298767E-5
-2.487762837567045        5.1093466832805486E-5
-2.381510241340803        5.5563165615902357E-5
-2.2752576451145576       6.003190579485344E-5
-2.169005048888315        6.44996873696585E-5
-2.0627524526620697       6.896651034031777E-5
-1.9564998564358274       7.343237470683115E-5
-1.8502472602095819       7.789728046919869E-5
-1.743994663983338        8.236122762742027E-5
-1.637742067757094        8.682421618149605E-5
-1.53148947153085         9.128624613142589E-5
-1.4607293133423565       9.950771873484864E-5
-1.3899691551538647       1.0645824082321444E-4
-1.3192089969653729       1.1340688583318552E-4
-1.2484488387768808       1.203536537647615E-4
-1.177688680588389        1.2729854461794251E-4
-1.1069285223998973       1.3424155839272865E-4
-1.0361683642114055       1.4118269508911987E-4
-0.9654082060229119       1.4812195470711637E-4
-0.89464804783442         1.6771395005741265E-4
-0.8475242097733393       1.80121112992664E-4
-0.8004003717122571       1.925262968591956E-4
-0.7532765336511764       2.0492950165700661E-4
-0.7061526955900959       2.1733072738609716E-4
-0.6590288575290119       2.29729974046468E-4
-0.6119050194679312       2.4212724163811798E-4
-0.5647811814068505       2.545225301610478E-4
-0.5176573433457683       2.6691583961525775E-4
-0.47053350528468596      2.659010285136825E-4
-0.4391511297155709       2.88578527112758E-4
-0.40776875414645253      3.112542639135393E-4
-0.3763863785773375       3.3392823891602443E-4
-0.3450040030082191       3.5660045212021523E-4
-0.3136216274391024       3.792709035261095E-4
-0.2822392518699856       4.0193959313370977E-4
-0.2508568763008706       4.246065209430124E-4
-0.2194745007317505       4.472716869540233E-4
-0.1880921251626338       4.597366315025432E-4
-0.16719300014456467      4.732399844194477E-4
-0.1462938751264939       4.867422394301226E-4
-0.12539475010842308      5.00243396534567E-4
-0.10449562509035229      5.137434557327813E-4
-0.08359650007228149      5.272424170247651E-4
-0.06269737505421409      5.407402804105177E-4
-0.04179825003614159      5.542370458900422E-4
-0.020899125018070796     5.677327134633352E-4
0                         5.598219991445411E-4
0.019688705885265473      5.529544508163853E-4
0.03937741177053603       5.460871948444261E-4
0.0590661176558032        5.39220231228666E-4
0.07875482354107037       5.323535599691039E-4
0.09844352942634092       5.254871810657393E-4
0.1181322353116064        5.186210945185734E-4
0.13782094119687358       5.11755300327606E-4
0.15750964708214074       5.04889798492836E-4
0.1771983529674096        4.7694577437866454E-4
0.2055652643278301        4.5570415865695186E-4
0.233932175688254         4.344630140459116E-4
0.2622990870486762        4.1322234054554633E-4
0.2906659984091035        3.9198213815585115E-4
0.3190329097695257        3.707424068768339E-4
0.34739982112994794       3.4950314670849E-4
0.37576673249037523       3.282643576508158E-4
0.4041336438507957        3.0702603970381994E-4
0.4325005552112196        2.969255194245356E-4
0.473978638560706         2.8376922154115517E-4
0.5154567219101907        2.7061363627791155E-4
0.5569348052596736        2.574587636348056E-4
0.5984128886091618        2.443046036118355E-4
0.6398909719586482        2.311511562090023E-4
0.6813690553081312        2.1799842142630727E-4
0.7228471386576192        2.0484639926374797E-4
0.7643252220071022        1.9169508972132705E-4
0.8058033053565903        1.7604215356887808E-4
0.8664545999082051        1.6817078566149567E-4
0.9271058944598165        1.6030070126302353E-4
0.987757189011433         1.5243190037346114E-4
1.048408483563046         1.4456438299280915E-4
1.1090597781146592        1.3669814912106742E-4
1.1697110726662738        1.2883319875823558E-4
1.230362367217887         1.2096953190431406E-4
1.2910136617695018        1.1310714855930277E-4
1.3516649563211165        1.074554157556283E-4
1.4403524043234772        9.845014746201776E-5
1.5290398523258377        9.382918008852859E-5
1.6177273003281982        8.921079924439564E-5
1.706414748330559         8.459500492961897E-5
1.7951021963329195        7.998179714419853E-5
1.88378964433528          7.537117588813437E-5
1.9724770923376422        7.076314116142646E-5
2.061164540340001         6.615769296407483E-5
2.1498519883423635        6.111060015970533E-5
2.279535336939779         5.4237055013202174E-5
2.4092186855371915        5.139381705170983E-5
2.5389020341346087        4.855561130534281E-5
2.6685853827320263        4.572243777410123E-5
2.7982687313294385        4.289429645798525E-5
2.927952079926854         4.007118735699464E-5
3.057635428524266         3.7253110471129535E-5
3.1873187771216838        3.444006580038984E-5
3.3170021257190996        3.286360422048808E-5
3.506644485184257         2.7837643973963593E-5
3.696286844649414         2.5965727496117014E-5
3.885929204114573         2.4101991239913598E-5
4.075571563579725         2.224643520535343E-5
4.265213923044886         2.039905939243636E-5
4.454856282510043         1.85598638011625E-5
4.644498641975199         1.6728848431531834E-5
4.8341410014403525        1.490601328354435E-5
5.023783360905513         1.3515574318815773E-5
5.3010943767251195        1.105992473720406E-5
5.578405392544728         9.932127780323704E-6
5.855716408364341         8.814406703570116E-6
6.13302742418395          7.706761506943312E-6
6.410338440003563         6.609192190443257E-6
6.687649455823168         5.521698754069989E-6
