freq,cond.real,Ey.pha,Ey.mag,E0y.pha,E0y.mag
0.01,0,1.5830948923593955,9.687192231915446,1.5677351717501928,494.401287266136
0.06999999999999999,0,-1.3268324590419218,11.887430198904317,1.669950311386986,630.731703036726
0.13,0,-0.8959981491185476,84.87148895117133,2.020301159287118,737.1497807851575
0.19,0,0.009906794671726638,162.25595088220547,2.8288961813087603,592.8864053181733
0.25,0,1.5409221225811105,513.810674449713,-2.0204559545582037,1024.1162069217612
0.31,0,2.150509390289369,1973.5889171967822,-1.51002831568113,2440.929035461006
0.37,0,2.4340535334456037,5117.881810944708,-1.3268158210906307,4229.195869753227
0.43,0,2.6048673437023298,10524.629450000932,-1.257388345588535,6082.846069423693
0.49,0,2.713061970358793,18808.548173815263,-1.2513375750418962,7848.300625072196
0.55,0,2.7788843786115245,31042.420210004995,-1.2889848649649658,9531.722573837827
0.61,0,2.820470779310741,49520.410553342794,-1.3526386130949881,11305.016354397994
0.67,0,2.862879254799983,78549.7556447275,-1.417955163684719,13368.107729091485
0.73,0,2.926916072029867,124741.64069062543,-1.4652436956680097,15747.627469892277
0.79,0,3.0175483033937307,198093.49809167522,-1.4914334897037638,18293.04613963362
0.85,0,3.130369335116735,317318.6442325396,-1.504556099417489,20879.655872505136
0.91,0,-3.0151536928221403,525223.0676323213,-1.5092954765727058,23537.81045140883
0.97,0,-2.826040766330984,934666.595923804,-1.5012375599525172,26272.52571696254
1.03,0,-2.5103317003022236,1912260.9942586068,-1.4777446663754459,28806.494646424777
1.09,0,-1.674878708824318,4704042.603519652,-1.4491793080349908,30777.153895914274
1.15,0,-0.2923424922767565,3912552.896761818,-1.4314034381819458,32277.598519068488
1.21,0,0.18313902950706182,2408214.308272556,-1.425212726969455,33925.757172573554
1.27,0,0.43513563829525453,1874580.963720853,-1.410424368058682,36080.901386311896
1.33,0,0.6520842150328413,1636698.3741671399,-1.3713472010151153,38247.29062852432
1.39,0,0.8682577240387687,1493676.3509136226,-1.3151379237105152,39688.90821601619
1.45,0,1.0805678899449316,1387327.4402504354,-1.2573290747272488,40263.43157475847
1.51,0,1.2887654191401918,1303176.318128934,-1.2034388489627015,40265.15868696817
1.57,0,1.4973365676858241,1230893.9207803977,-1.1510767096685497,39813.18347643429
1.63,0,1.7073831652549067,1161893.551474103,-1.1000441456802892,38891.42623336104
1.69,0,1.922105816021898,1093896.9160663798,-1.0479670007608375,37582.88093369063
1.75,0,2.149869873229982,1018494.5569657144,-0.9876647058958499,35713.49722746147
1.81,0,2.3865532548433044,922908.7474954,-0.9233685344313218,32864.66717909909
1.8699999999999999,0,2.615559751196566,805160.9738886437,-0.8758217949946739,29188.48054121066
1.93,0,2.823502547726899,688804.6215503195,-0.8576247080888513,25487.620484473766
1.99,0,3.022198967548859,580960.3749472392,-0.8566655969753533,22127.338176818015
2.05,0,-3.0726076188795544,470797.7445944107,-0.8711304759870523,18706.557474177418
2.11,0,-2.94684109436698,360378.29870713217,-0.9477326286709388,15192.455281416758
2.17,0,-2.9530949625159923,277941.0300667563,-1.14886699430201,12646.878431490999
2.23,0,-3.041427384819481,245671.07144113476,-1.4181580467866495,12238.37114221646
2.29,0,-3.067382985438102,244605.80395295276,-1.606182227320111,13451.444217757202
2.35,0,-3.016112912318858,248833.55409971814,-1.6972295470525494,15106.948572873865
2.41,0,-2.919646058543922,252766.4434670602,-1.7269341423769164,16830.141529091314
2.4699999999999998,0,-2.7802970722406086,254147.19128147126,-1.7032626209810977,18376.354743770527
2.53,0,-2.610115732533795,246366.63490022786,-1.643658544966957,19163.41542196479
2.59,0,-2.4446129100150977,228210.85507384338,-1.5874559770095054,18942.774480239765
2.65,0,-2.3141732064994573,206530.83400786584,-1.5665230656903149,18205.165408870776
2.71,0,-2.218663543159276,189477.79601971916,-1.5812331688075363,17680.573563496444
2.77,0,-2.1341861420095714,179941.90999910247,-1.6044676795331203,17760.944872691136
2.83,0,-2.026879252135564,176147.07530109488,-1.6039937467557603,18340.409914881813
2.89,0,-1.8864623200986808,172964.2174085509,-1.5698448723108664,18942.218554052775
2.9499999999999997,0,-1.7281973590021775,167550.10515623126,-1.5188127245811758,19255.23649010186
3.01,0,-1.5627792825446598,161141.45934713492,-1.462805775219145,19426.54114122804
3.07,0,-1.3812221121625865,154107.77484108374,-1.3926223305167895,19543.100541968062
3.13,0,-1.1815792238241858,144109.79940877986,-1.3045187660198114,19332.5370859634
3.19,0,-0.985263002615146,130162.28563875049,-1.2133012157701941,18653.054756462734
3.25,0,-0.816091521359344,114724.82911761139,-1.1323299518402032,17709.07037945153
3.31,0,-0.6900947132492573,101217.06839066993,-1.063554951823461,16736.987001388014
3.37,0,-0.5998459664281565,93303.98029715488,-1.002913376934409,15878.150170984989
3.4299999999999997,0,-0.48517667082562166,91829.62457833783,-0.9383655348318821,15156.524056158123
3.4899999999999998,0,-0.29600492884839996,91162.61355786008,-0.8597896896476149,14348.80299273927
3.55,0,-0.06341515222813307,85893.16553487643,-0.7798590684335416,13250.447035259995
3.61,0,0.16083929102080222,77098.6921371383,-0.720671646339118,12048.297971224041
3.67,0,0.36362031543323753,67918.48822416805,-0.6805852294022786,11057.858103718168
3.73,0,0.5561906908729866,59457.094115486565,-0.6413740388255649,10282.469837052333
3.79,0,0.7356152661271562,51450.241327886026,-0.6011470917134261,9579.588250226248
3.85,0,0.8940028540427722,44333.5566746393,-0.5673272531028857,8945.341646708588
3.91,0,1.0344311317727635,38416.06135084233,-0.5383648444042315,8439.669923419753
