freq,Ey.real,Ey.imag,E0y.real,E0y.imag,cond.real,cond.imag,Ey.pha,Ey.mag,E0y.pha,E0y.mag
0.01,0.00024056678131346624,-2.958775510377207e-6,0.012278579967257166,0.00003758675441300141,0,0,1.5830948923593955,0.00024058497589010396,1.5677351717501928,0.012278637496743532
0.06999999999999999,-0.00028648641836322234,0.00007131278742106729,0.015587513859267679,-0.001550649185265838,0,0,-1.3268324590419218,0.00029522869365349567,1.669950311386986,0.015664453428339834
0.13,-0.0016458513024784982,0.001316835538770156,0.016488773229421088,-0.007954917966636645,0,0,-0.8959981491185476,0.002107814590052516,2.020301159287118,0.018307385462353495
0.19,0.000039920619927337746,0.004029488370766261,0.004529647027245027,-0.014010521638002267,0,0,0.009906794671726636,0.004029686115075952,2.8288961813087603,0.014724551563981818
0.25,0.012754982929077934,0.00038115836207056205,-0.02290600778070989,-0.011055248834254657,0,0,1.5409221225811105,0.012760676753920452,4.262729352621383,0.025434302019855606
0.31,0.04100675980070039,-0.02684952138215604,-0.060509473446919086,0.003681573182166262,0,0,2.150509390289369,0.0490148053939133,4.773156991498456,0.06062136882254517
0.37,0.08261353076710741,-0.09659478151882069,-0.1019229672777199,0.025372675136214284,0,0,2.4340535334456037,0.12710447388851623,4.956369486088955,0.10503363224350108
0.43,0.1336515531119422,-0.22462937077508888,-0.14371086911856312,0.046575154896185376,0,0,2.6048673437023298,0.26138303667997786,5.025796961591051,0.15106971555019372
0.49,0.19410344951785322,-0.4248791936520785,-0.18505378638618608,0.06121372462217291,0,0,2.713061970358793,0.46711719976165533,5.03184773213769,0.19491542765513306
0.55,0.2735388882745667,-0.7207913918278553,-0.22738584507818727,0.0658319760924233,0,0,2.7788843786115245,0.7709499036459002,4.994200442214621,0.23672382984852788
0.61,0.38818152810176715,-1.1669896161434679,-0.2741095116730598,0.06076618772845869,0,0,2.8204707793107406,1.2298575783179537,4.930546694084598,0.2807642319824475
0.67,0.5367053066043062,-1.87553058094378,-0.3281315552368291,0.05054621652504557,0,0,2.862879254799983,1.950812022259586,4.865230143494867,0.33200186377057733
0.73,0.6599723639599845,-3.0268908198679867,-0.3889214502340831,0.041204822046104685,0,0,2.926916072029867,3.098004447477767,4.817941611511577,0.3910981102128129
0.79,0.6087002421366339,-4.881923362084713,-0.45288452737781854,0.03601785173707184,0,0,3.0175483033937307,4.919724758362576,4.791751817475823,0.4543145174677822
0.85,0.0884460300559196,-7.880228704034676,-0.517416688740129,0.03432401573823991,0,0,3.130369335116735,7.880725038226157,4.778629207762098,0.5185539198995592
0.91,-1.6448924730346381,-12.939979721551806,-0.5834649874454161,0.03592890284597248,0,0,3.268031614357446,13.044107728856657,4.773889830606881,0.5845701648514017
0.97,-7.203883499059346,-22.066662487628328,-0.6509099531881921,0.045349657533216625,0,0,3.4571445408486023,23.212788087839055,4.781947747227069,0.6524878225667009
1.03,-28.02785472991523,-38.339291849649904,-0.7123248341470835,0.06647497975796256,0,0,3.7728536068773626,47.491703910197444,4.80544064080414,0.7154198713178797
1.09,-116.19439656075362,-12.137650892279462,-0.7587161575961818,0.09273043125122328,0,0,4.608306598355268,116.82662522430631,4.834005999144596,0.7643619173386074
1.15,-28.003926736321677,93.0469145351601,-0.7938506645765863,0.11137945505832635,0,0,5.990842814902829,97.16968774863209,4.851781868997641,0.801626010467336
1.21,10.892215035844174,58.80869462323108,-0.8336455547757756,0.12222988064447128,0,0,6.466324336686648,59.80888656107483,4.857972580210131,0.8425586357754411
1.27,19.62486974091558,42.217495416800354,-0.8845838637635282,0.14309128488988948,0,0,6.718320945474841,46.555906516955105,4.872760939120904,0.8960824336199498
1.33,24.667010174948704,32.30787712964298,-0.9310548530163365,0.18820025224984985,0,0,6.935269522212428,40.64800506291952,4.9118381061644705,0.9498855058754075
1.39,28.3118276078718,23.969849357196328,-0.9536507778588532,0.24926336630005558,0,0,7.151443031218355,37.09600060255198,4.968047383469071,0.9856886079741571
1.45,30.396885171972215,16.22225862361807,-0.9512293291503847,0.3083455501093343,0,0,7.363753197124518,34.454786358496186,5.0258562324523375,0.9999571065341347
1.51,31.08619796145594,9.0073642533436,-0.9332796661057745,0.3591504765881486,0,0,7.571950726319778,32.36486234315294,5.079746458216885,1.0
1.57,30.487257354329476,2.243623816601147,-0.9029525542904719,0.40293019749242637,0,0,7.780521874865411,30.569702465341997,5.132108597511037,0.9887750296963276
1.63,28.587302416802583,-3.9291135009661375,-0.8608212452879781,0.43808271345623084,0,0,7.990568472434493,28.856052959010196,5.183141161499297,0.9658828501264113
1.69,25.50802936232029,-9.34902891958183,-0.8086936728201333,0.46607021261397036,0,0,8.205291123201484,27.167331552586674,5.235218306418749,0.9333846471553666
1.75,21.17089381780463,-13.842485647967326,-0.7403812501757957,0.48839509879388254,0,0,8.433055180409568,25.2946862791168,5.295520601283736,0.8869578164364754
1.81,15.708006822904979,-16.69193121454191,-0.6510368421257651,0.49228385003578395,0,0,8.669738562022891,22.920777605033994,5.359816772748264,0.8162060761910209
1.8699999999999999,10.040357414173256,-17.293061384486194,-0.556779044256677,0.46420547167372933,0,0,8.898745058376152,19.99646841449638,5.407363512184912,0.7249066312672331
1.93,5.350177485150288,-16.248548313731177,-0.47872778577163894,0.41412755755576375,0,0,9.106687854906486,17.106715682043276,5.425560599090735,0.6329944129270958
1.99,1.7185658037724858,-14.325649223283694,-0.41526739981283084,0.35992752404878225,0,0,9.305384274728446,14.428364220883283,5.426519710204233,0.549540568034059
