f (THz),eps.real,eps.imag
6.0520000000000005,19.416680911641222,9.939491545889844
6.053,19.430863306112716,9.949791603080747
6.054,19.44502657595552,9.960120005446624
6.055,19.45917066466531,9.97047676884703
6.056,19.473295515313453,9.980861909011093
6.057,19.487401070546216,9.991275441534812
6.058,19.50148727258417,10.001717381878441
6.059,19.515554063221533,10.012187745363795
6.0600000000000005,19.52960138382541,10.02268654717155
6.061,19.543629175335216,10.03321380233849
6.062,19.557637378262054,10.043769525754861
6.063,19.571625932687965,10.054353732161546
6.064,19.585594778265445,10.064966436147307
6.065,19.599543854216694,10.075607652146036
6.066,19.61347309933307,10.086277394433894
6.067,19.6273824519745,10.096975677126563
6.0680000000000005,19.641271850068847,10.107702514176342
6.069,19.655141231111298,10.11845791936928
6.07,19.668990532163928,10.129241906322411
6.071,19.68281968985493,10.140054488480695
6.072,19.696628640378268,10.150895679114273
6.073,19.71041731949297,10.161765491315375
6.074,19.72418566252265,10.172663937995491
6.075,19.737933604355042,10.183591031882383
6.0760000000000005,19.751661079441416,10.194546785517037
6.077,19.765368021796075,10.205531211250726
6.078,19.779054364995904,10.216544321241955
6.079,19.792720042179862,10.227586127453423
6.08,19.806364986048553,10.238656641648985
6.081,19.819989128863707,10.249755875390516
6.082,19.83359240244777,10.260883840034872
6.083,19.8471747381835,10.272040546730768
6.0840000000000005,19.860736067013498,10.283226006415585
6.085,19.87427631943981,10.294440229812276
6.086,19.88779542552358,10.305683227426185
6.087,19.9012933148846,10.316955009541802
6.088,19.91476991670102,10.328255586219644
6.089,19.9282251597089,10.339584967292915
6.09,19.941658972201925,10.350943162364306
6.091,19.95507128203112,10.362330180802793
6.0920000000000005,19.968462016604455,10.373746031740215
6.093,19.981831102886552,10.385190724068034
6.094,19.995178467398517,10.396664266434067
6.095,20.0085040362175,10.408166667238994
6.096,20.021807734976598,10.419697934633154
6.097,20.03508948886451,10.431258076513014
6.098,20.048349222625344,10.442847100517843
6.099,20.061586860558457,10.454465014026301
6.1000000000000005,20.07480232651821,10.466111824152923
6.101,20.087995543913788,10.477787537744694
6.102,20.101166435709125,10.48949216137762
6.103,20.11431492442263,10.501225701353086
6.104,20.12744093212722,10.512988163694487
6.105,20.140544380450077,10.52477955414356
6.106,20.15362519057261,10.536599878156872
6.107,20.16668328323047,10.548449140902296
6.1080000000000005,20.179718578713317,10.560327347255276
6.109,20.192730996864945,10.572234501795297
6.11,20.205720457083203,10.58417060880225
6.111,20.218686878320003,10.596135672252696
6.112,20.23163017908136,10.608129695816274
6.113,20.24455027742741,10.620152682851918
6.114,20.257447090972445,10.632204636404161
6.115,20.27032053688511,10.644285559199453
6.1160000000000005,20.28317053188839,10.656395453642293
6.117,20.29599699225976,10.66853432181152
6.118,20.308799833831365,10.680702165456507
6.119,20.321578971990157,10.692898985993299
6.12,20.3343343216781,10.705124784500832
6.121,20.34706579739234,10.717379561717012
6.122,20.359773313185492,10.729663318034861
6.123,20.372456782665854,10.74197605349863
6.1240000000000006,20.385116118997704,10.754317767799865
6.125,20.39775123490154,10.766688460273427
6.126,20.410362042654537,10.779088129893639
6.127,20.42294845409072,10.79151677527017
6.128,20.435510380601485,10.803974394644152
6.1290000000000004,20.44804773313589,10.816460985884097
6.13,20.460560422201123,10.828976546481849
6.131,20.473048357862925,10.8415210735486
6.132000000000001,20.485511449746088,10.85409456381074
6.133,20.49794960703488,10.866697013605755
6.134,20.510362738473663,10.879328418878192
6.135,20.522750752367358,10.891988775175436
6.136,20.53511355658206,10.9046780776436
6.1370000000000005,20.547451058545587,10.917396321023336
6.138,20.559763165248167,10.930143499645625
6.139,20.57204978324306,10.94291960742763
6.140000000000001,20.58431081864723,10.955724637868368
6.141,20.59654617714206,10.968558584044532
6.142,20.60875576397412,10.981421438606203
6.143,20.62093948395587,10.994313193772536
6.144,20.633097241466505,11.007233841327487
6.1450000000000005,20.64522894045276,11.020183372615458
6.146,20.65733448442976,11.033161778536968
6.147,20.66941377648192,11.04616904954429
6.148,20.681466719263824,11.059205175637064
6.149,20.693493215001233,11.072270146357894
6.15,20.705493165491976,11.085363950787938
6.151,20.71746647210701,11.098486577542433
6.152,20.729413035791474,11.111638014766328
6.1530000000000005,20.741332757065713,11.124818250129714
6.154,20.753225536026385,11.138027270823367
6.155,20.76509127234766,11.151265063554282
6.156,20.7769298652823,11.164531614541085
6.157,20.788741213662938,11.17782690950952
6.158,20.800525215903257,11.191150933687895
6.159,20.81228176999928,11.204503671802453
6.16,20.824010773530695,11.217885108072863
6.1610000000000005,20.835712123662198,11.23129522620754
6.162,20.847385717144792,11.244734009399012
6.163,20.859031450317335,11.258201440319349
6.164,20.87064921910782,11.271697501115382
6.165,20.88223891903504,11.285222173404161
6.166,20.893800445209948,11.298775438268146
6.167,20.90533369233732,11.312357276250543
6.168,20.916838554717273,11.325967667350598
6.1690000000000005,20.928314926247015,11.339606591018818
6.17,20.939762700422335,11.3532740261522
6.171,20.951181770339527,11.366969951089544
6.172,20.962572028696954,11.380694343606542
6.173,20.97393336779695,11.394447180911087
6.174,20.9852656795476,11.408228439638368
6.175,20.996568855464634,11.422038095846101
6.176,21.007842786673326,11.435876125009653
6.1770000000000005,21.019087363910433,11.449742502017177
6.178,21.030302477526188,11.46363720116472
6.179,21.04148801748637,11.477560196151419
