# doi/10.1016/j.physb.2016.03.014
T (K),Cp (J/mol K)
5.012050479462552, 2.414339855978568
15.615988190780044, 4.158914477194287
24.686944795326262, 9.524913256908462
33.78962304531563, 17.02534423185756
43.50879378238091, 25.230219214946857
53.22921227888538, 33.05203205021627
62.9505991857008, 40.57654292001348
72.67323385195539, 47.717991641990835
82.39642721646632, 54.68791999927268
92.12012340940797, 61.50348002832858
102.53859813065517, 68.73562410058463
112.84352674293945, 75.20749158561719
123.26382654515734, 81.87933579986799
133.56953733500052, 88.1110747743269
143.99127112940968, 94.3426833858593
154.41404782723066, 100.25412064996014
164.8380096425651, 105.80172683743422
175.03068392397614, 111.1167418617201
185.22525439340868, 115.84962716340314
195.42437571409286, 119.18540113083938
192.75482740801334, 83.88236216521244
205.620937180948, 123.30705022378943
215.8123789401451, 129.00044956776716
226.00088160790875, 135.59614998177932
223.49961998873806, 48.629098135150116
236.193745508122, 140.8529520338049
246.3904965937793, 144.91638815449468
249.53674656846584, 33.87201485776697
256.58876462985376, 148.5141204971022
274.1263232125746, 36.08557734937443
0.9684184328896279, 2.358461217513508
8.784938641213046, 2.686757262223267
12.692649755333441, 3.0194452272635317
20.98679129960582, 6.717991135640773
30.24715531660255, 13.786237917644144
39.991728550044094, 22.202255251089753
