cond,amplitude,variable,value,resonance_id
100.0,4.0515817519949895,f,1.095301782945926,1
100.0,4.0515817519949895,td,4.28912580736813,1
100.0,4.0515817519949895,p,0.3590776926946104,1
100.0,7.0717740035646095,f,1.5663975707488427,2
100.0,7.0717740035646095,td,0.45772031836595983,2
100.0,7.0717740035646095,p,0.013848160684997772,2
124.59440156954095,4.051127088226962,f,1.0952833075673885,1
124.59440156954095,4.051127088226962,td,4.275111130245818,1
124.59440156954095,4.051127088226962,p,0.3589200418749954,1
124.59440156954095,7.071844211988932,f,1.566278792066362,2
124.59440156954095,7.071844211988932,td,0.4576885308863472,2
124.59440156954095,7.071844211988932,p,0.013851009950857576,2
155.2376490247203,4.05057201792689,f,1.0952601308860117,1
155.2376490247203,4.05057201792689,td,4.2577518656337245,1
155.2376490247203,4.05057201792689,p,0.35872253907001994,1
155.2376490247203,7.0719182044117925,f,1.5661343737402686,2
155.2376490247203,7.0719182044117925,td,0.4576511842254647,2
155.2376490247203,7.0719182044117925,p,0.013849262959109192,2
193.41741981297437,4.049848633005757,f,1.0952314435504547,1
193.41741981297437,4.049848633005757,td,4.2364621531130275,1
193.41741981297437,4.049848633005757,p,0.3584800960363323,1
193.41741981297437,7.071988978246457,f,1.5659564816433844,2
193.41741981297437,7.071988978246457,td,0.45760636006491673,2
193.41741981297437,7.071988978246457,p,0.013848046703559118,2
240.98727674722215,4.048940986019814,f,1.0951955175667665,1
240.98727674722215,4.048940986019814,td,4.2102938148799804,1
240.98727674722215,4.048940986019814,p,0.3581825572959383,1
240.98727674722215,7.072072169663091,f,1.5657365233851657,2
240.98727674722215,7.072072169663091,td,0.45755175223354727,2
240.98727674722215,7.072072169663091,p,0.013846502435213147,2
300.256655321935,4.04752917224719,f,1.0951538909688396,1
300.256655321935,4.04752917224719,td,4.179210709168558,1
300.256655321935,4.04752917224719,p,0.3578134258687263,1
300.256655321935,7.071757055632086,f,1.5654867803630566,2
300.256655321935,7.071757055632086,td,0.4575143872111018,2
300.256655321935,7.071757055632086,p,0.01383667249158112,2
374.1029828710841,4.045864392905765,f,1.095100585797696,1
374.1029828710841,4.045864392905765,td,4.140926334861242,1
374.1029828710841,4.045864392905765,p,0.3573619704830142,1
374.1029828710841,7.071525958273614,f,1.5651759279471904,2
374.1029828710841,7.071525958273614,td,0.4574588991399752,2
374.1029828710841,7.071525958273614,p,0.013821667167656168,2
466.1113727620291,4.044148696128716,f,1.0950291966771937,1
466.1113727620291,4.044148696128716,td,4.093176008738958,1
466.1113727620291,4.044148696128716,p,0.3568118521793242,1
466.1113727620291,7.071717262800689,f,1.5647737545660838,2
466.1113727620291,7.071717262800689,td,0.45736121516924433,2
466.1113727620291,7.071717262800689,p,0.013796509522984564,2
580.7486755404225,4.042503351206275,f,1.0949329972971373,1
580.7486755404225,4.042503351206275,td,4.033870813018399,1
580.7486755404225,4.042503351206275,p,0.35614634956546193,1
580.7486755404225,7.0726105375761925,f,1.5642543994915934,2
580.7486755404225,7.0726105375761925,td,0.4572024464884289,2
580.7486755404225,7.0726105375761925,p,0.013754863183300147,2
723.5803369126244,4.040489271357812,f,1.0948109471569458,1
723.5803369126244,4.040489271357812,td,3.96270026029038,1
723.5803369126244,4.040489271357812,p,0.355343678900792,1
723.5803369126244,7.073760728239575,f,1.5636251348561083,2
723.5803369126244,7.073760728239575,td,0.4570132208384776,2
723.5803369126244,7.073760728239575,p,0.013687939441167635,2
901.5405906511526,4.038145993054864,f,1.0946619260521964,1
901.5405906511526,4.038145993054864,td,3.8777476151720016,1
901.5405906511526,4.038145993054864,p,0.3543644817008659,1
901.5405906511526,7.075052513550929,f,1.5628867743574917,2
901.5405906511526,7.075052513550929,td,0.45678291706786356,2
901.5405906511526,7.075052513550929,p,0.013565119216635751,2
1123.2691038283085,4.033255690911064,f,1.094464596399293,1
1123.2691038283085,4.033255690911064,td,3.7837217951460986,1
1123.2691038283085,4.033255690911064,p,0.3532477736706332,1
1123.2691038283085,7.075233307562854,f,1.562042950129618,2
1123.2691038283085,7.075233307562854,td,0.4567104705979045,2
1123.2691038283085,7.075233307562854,p,0.013453713813051108,2
1399.5304179304267,4.027464472501934,f,1.0941759110752978,1
1399.5304179304267,4.027464472501934,td,3.672498368341061,1
1399.5304179304267,4.027464472501934,p,0.3520011902092148,1
1399.5304179304267,7.077044468232078,f,1.5609418527183354,2
1399.5304179304267,7.077044468232078,td,0.4566309334487685,2
1399.5304179304267,7.077044468232078,p,0.013334972142881865,2
1743.7365490041086,4.0234134509419315,f,1.0937421971881245,1
1743.7365490041086,4.0234134509419315,td,3.5357569333246324,1
1743.7365490041086,4.0234134509419315,p,0.35064660287267285,1
1743.7365490041086,7.084261332714331,f,1.5593993477257235,2
1743.7365490041086,7.084261332714331,td,0.4563138365055498,2
1743.7365490041086,7.084261332714331,p,0.013160834336343226,2
2172.5981181810344,4.0234286861246185,f,1.093107058592046,1
2172.5981181810344,4.0234286861246185,td,3.3700413176201742,1
2172.5981181810344,4.0234286861246185,p,0.34922368359307326,1
2172.5981181810344,7.100105322230937,f,1.5572687947263237,2
2172.5981181810344,7.100105322230937,td,0.45560587850678314,2
2172.5981181810344,7.100105322230937,p,0.012871250019105992,2
2706.935623858765,4.022103208002433,f,1.0925678508381982,1
2706.935623858765,4.022103208002433,td,3.203384920189625,1
2706.935623858765,4.022103208002433,p,0.3469837699568801,1
2706.935623858765,7.1073300704005025,f,1.5555906938886803,2
2706.935623858765,7.1073300704005025,td,0.4552266179268768,2
