cond,time,Ey,E0y
100.0,0.3561253561253562,-0.011659491619721385,-0.008583866845846253
124.59440156954095,0.3561253561253562,-0.011985089949480941,-0.008583866845846253
155.2376490247203,0.3561253561253562,-0.012384649037120336,-0.008583866845846253
193.41741981297437,0.3561253561253562,-0.012861093575456714,-0.008583866845846253
240.98727674722215,0.3561253561253562,-0.013434631391683707,-0.008583866845846253
300.256655321935,0.3561253561253562,-0.01407590508437597,-0.008583866845846253
374.1029828710841,0.3561253561253562,-0.014833243196126035,-0.008583866845846253
466.1113727620291,0.3561253561253562,-0.015773957590479202,-0.008583866845846253
580.7486755404225,0.3561253561253562,-0.016930362067448437,-0.008583866845846253
723.5803369126244,0.3561253561253562,-0.0182229969267852,-0.008583866845846253
901.5405906511526,0.3561253561253562,-0.01963139477766009,-0.008583866845846253
1123.2691038283085,0.3561253561253562,-0.020813431873718875,-0.008583866845846253
1399.5304179304267,0.3561253561253562,-0.02195374886883907,-0.008583866845846253
1743.7365490041086,0.3561253561253562,-0.023249134437685243,-0.008583866845846253
2172.5981181810344,0.3561253561253562,-0.024692311602902955,-0.008583866845846253
2706.935623858765,0.3561253561253562,-0.025271621794771423,-0.008583866845846251
3372.690241419549,0.3561253561253562,-0.025477991499704297,-0.008583866845846253
4202.183223090993,0.3561253561253562,-0.025438184419761572,-0.008583866845846253
5235.68503966587,0.3561253561253562,-0.024888526470999206,-0.008583866845846253
6523.370443237674,0.3561253561253562,-0.024122517318944568,-0.008583866845846253
8127.754365916291,0.3561253561253562,-0.023467186387994506,-0.008583866845846253
10126.726913255641,0.3561253561253562,-0.02302438397950443,-0.008583866845846253
12617.334796152512,0.3561253561253562,-0.023436861179375497,-0.008583866845846253
15720.492783291684,0.3561253561253562,-0.02422121991793806,-0.008583866845846253
19586.853907125143,0.3561253561253562,-0.023589146779685127,-0.008583866845846253
24404.123411882825,0.3561253561253562,-0.023084188656658674,-0.008583866845846253
30406.171523327583,0.3561253561253562,-0.022521358011367093,-0.008583866845846253
37884.38744969818,0.3561253561253562,-0.021855989801925373,-0.008583866845846253
47201.82583123772,0.3561253561253562,-0.02099687533036705,-0.008583866845846253
58810.832424327644,0.3561253561253562,-0.0199344450328884,-0.008583866845846253
73275.00471715642,0.3561253561253562,-0.0189196788102989,-0.008583866845846253
91296.55362739395,0.3561253561253562,-0.017931515330915696,-0.008583866845846253
113750.39464566653,0.3561253561253562,-0.01671897465093939,-0.008583866845846253
141726.62349175938,0.3561253561253562,-0.015242077545554957,-0.008583866845846253
176583.43840427403,0.3561253561253562,-0.013703623799742855,-0.008583866845846253
220013.0783507242,0.3561253561253562,-0.01259966377227134,-0.008583866845846253
274123.9783458101,0.3561253561253562,-0.01155875849893051,-0.008583866845846253
341543.13037858007,0.3561253561253562,-0.010655289808371517,-0.008583866845846253
425543.6193970689,0.3561253561253562,-0.009658967539260302,-0.008583866845846253
530203.526005143,0.3561253561253562,-0.00853578100921549,-0.008583866845846253
660603.9103267133,0.3561253561253562,-0.007606300762101682,-0.008583866845846253
823075.4888165555,0.3561253561253562,-0.006758360667593394,-0.008583866845846253
1025505.9797565591,0.3561253561253562,-0.005854306578573821,-0.008583866845846253
1277723.0385375426,0.3561253561253562,-0.005042983004946072,-0.008583866845846253
1591971.3735820064,0.3561253561253562,-0.004318803166412865,-0.008583866845846253
1983507.206072902,0.3561253561253562,-0.0036716326081045136,-0.008583866845846253
2471338.933495254,0.3561253561253562,-0.003050380010867908,-0.008583866845846253
3079149.9549434874,0.3561253561253562,-0.002532897181932907,-0.008583866845846253
3836448.459790628,0.3561253561253562,-0.002086642025162651,-0.008583866845846253
100.0,0.0,-0.06618400983465103,-0.0037402270925456574
124.59440156954095,0.0,-0.06513656888826896,-0.0037402270925456574
155.2376490247203,0.0,-0.06384642613801651,-0.0037402270925456574
193.41741981297437,0.0,-0.06228718005229051,-0.0037402270925456574
240.98727674722215,0.0,-0.06040123752808127,-0.0037402270925456574
300.256655321935,0.0,-0.058281903721434165,-0.0037402270925456574
374.1029828710841,0.0,-0.05568223053210688,-0.003740227092545658
466.1113727620291,0.0,-0.05244548205549494,-0.0037402270925456574
580.7486755404225,0.0,-0.04845023880327565,-0.0037402270925456574
723.5803369126244,0.0,-0.04385317040382459,-0.0037402270925456574
901.5405906511526,0.0,-0.0386621751353404,-0.0037402270925456574
