freq,eps_real,eps_imag
4.88,5.856138384369862,0.6428237033584087
4.89,5.960526071449475,0.6319191416808024
4.9,6.06315908252593,0.621285633729187
4.91,6.16408055958701,0.6109142946526395
4.92,6.26333224818805,0.6007966002886975
4.93,6.360954553337619,0.5909243697488669
4.94,6.456986592727828,0.58128974897642
4.95,6.551466247454753,0.5718851952150047
4.96,6.644430210365735,0.5627034623308779
4.97,6.735914032161627,0.5537375869356304
4.98,6.8259521653744955,0.5449808752599083
4.99,6.914578006333734,0.5364268907320967
5.0,7.001823935226994,0.5280694422190361
5.01,7.08772135435572,0.5199025728887958
5.0200000000000005,7.172300724679351,0.5119205496582002
5.03,7.255591600736574,0.5041178531903062
5.04,7.337622664027048,0.49648916840933544
5.05,7.418421754931803,0.4890293755027272
5.0600000000000005,7.498015903246486,0.48173354138193064
5.07,7.57643135739689,0.47459691157543815
5.08,7.653693612402728,0.46761490252922977
5.09,7.7298274366514566,0.46078309429142994
5.1000000000000005,7.804856897540784,0.4540972235594228
5.11,7.878805386045093,0.44755317706906494
5.12,7.951695640258061,0.44114698530689794
5.13,8.023549767960684,0.43487481652746957
5.14,8.094389268261493,0.428732971058964
5.15,8.164235052352993,0.4227178758813803
5.16,8.233107463426071,0.4168260794624679
5.17,8.301026295781973,0.41105424683750386
5.18,8.368010813179113,0.405399154919863
5.19,8.43407976645027,0.3998576880300878
5.2,8.499251410423645,0.3944268336319134
5.21,8.56354352017972,0.38910367826436865
5.22,8.626973406673976,0.38388540365973023
5.23,8.689557931754125,0.37876928303768936
5.24,8.751313522599041,0.37375267756665603
5.25,8.812256185605165,0.368833032983638
5.26,8.87240151974479,0.36400787636464155
5.2700000000000005,8.931764729419546,0.35927481303797437
5.28,8.990360636831118,0.35463152363328165
5.29,9.048203693890224,0.3500757612595328
5.3,9.10530799368377,0.34560534880556715
5.3100000000000005,9.161687281519168,0.3412181763571544
5.32,9.217354965563896,0.33691219872486117
5.33,9.272324127097427,0.3326854330773221
5.34,9.326607530391929,0.32853595667482155
5.3500000000000005,9.380217632237255,0.3244619046983492
5.36,9.433166591125076,0.3204614681695702
5.37,9.485466276106326,0.31653289195738
5.38,9.537128275335307,0.31267447286695654
5.39,9.588163904313404,0.3088845578074296
5.4,9.638584213844592,0.3051615420344936
5.41,9.688399997714377,0.3015038674644866
5.42,9.7376218001034,0.29791002105662684
5.43,9.786259922746222,0.29437853326028757
5.44,9.834324431845515,0.29090797652432965
5.45,9.881825164751245,0.28749696386568513
5.46,9.928771736414273,0.28414414749450456
5.47,9.975173545622987,0.28084821749334127
5.48,10.021039781031593,0.27760790054795026
5.49,10.06637942698801,0.2744219587274168
5.5,10.111201269169195,0.27128918831143045
5.51,10.155513900031162,0.2682084186626405
5.5200000000000005,10.199325724080843,0.26517851114211977
5.53,10.242644962976495,0.26219835806606623
5.54,10.285479660463134,0.25926688170195833
5.55,10.327837687149177,0.2563830333024726
5.5600000000000005,10.369726745130205,0.25354579217554535
5.57,10.411154372465521,0.2507541647890459
5.58,10.452127947512968,0.24800718390859167
5.59,10.49265469312715,0.24530390776711808
5.6000000000000005,10.532741680726101,0.24264341926486718
5.61,10.572395834231125,0.24002482519853546
5.62,10.611623933884475,0.23744725551836526
5.63,10.650432619949179,0.23490986261203567
5.64,10.688828396295262,0.2324118206142499
5.65,10.726817633876443,0.22995232474097185
5.66,10.764406574101105,0.2275305906473127
5.67,10.801601332101388,0.22514585380811056
5.68,10.838407899903821,0.22279736892029314
5.69,10.874832149505075,0.2204844093261529
5.7,10.910879835856047,0.21820626645670085
5.71,10.946556599757468,0.2159622492943056
5.72,10.981867970670057,0.21375168385385934
5.73,11.016819369442208,0.21157391268174064
5.74,11.051416110957916,0.20942829437188523
5.75,11.085663406707749,0.20731420309829635
5.76,11.119566367285389,0.20523102816336092
5.7700000000000005,11.15313000481229,0.20317817356136536
5.78,11.186359235292795,0.20115505755662802
5.79,11.2192588809021,0.19916111227569133
5.8,11.251833672209232,0.19719578331304202
5.8100000000000005,11.284088250337184,0.195258529349849
5.82,11.316027169062313,0.1933488217852288
5.83,11.347654896854923,0.19146614437957243
5.84,11.378975818862992,0.1896099929094827
5.8500000000000005,11.409994238840861,0.18777987483389486
5.86,11.44071438102463,0.18597530897096642
5.87,11.471140391956046,0.18419582518534125
5.88,11.501276342256435,0.1824409640854098
