f,eps_real,eps_imag
0.78,25.185154970413684,0.22658477907300603
0.79,25.19239734651877,0.22969219509291616
0.8,25.199740128017734,0.23280770714975196
0.81,25.207183640606896,0.23593144135577185
0.8200000000000001,25.214728215155745,0.2390635248051635
0.8300000000000001,25.222374187751523,0.24220408559238413
0.84,25.230121899744773,0.2453532528307643
0.85,25.237971697795704,0.24851115667138496
0.86,25.245923933921446,0.25167792832223107
0.87,25.25397896554419,0.25485370006763014
0.88,25.262137155540138,0.25803860528798034
0.89,25.270398872289555,0.2612327784797762
0.9,25.278764489727493,0.26443635527593784
0.91,25.2872343873957,0.26764947246645
0.92,25.295808950495257,0.2708722680193193
0.93,25.3044885699404,0.27410488110185566
0.9400000000000001,25.31327364241312,0.2773474521022851
0.9500000000000001,25.322164570418906,0.2806001226517028
0.96,25.331161762343456,0.2838630356463719
0.97,25.34026563251038,0.2871363352703779
0.98,25.349476601240045,0.2904201670186446
0.99,25.35879509490936,0.2937146777203219
1.0,25.368221546012776,0.2970200155625517
1.01,25.377756393224274,0.30033633011462185
1.02,25.387400081460544,0.30366377235251657
1.03,25.397153061945264,0.3070024946838705
1.04,25.407015792274557,0.3103526509733398
1.05,25.416988736483614,0.3137143965683936
1.06,25.42707236511452,0.3170878883255415
1.07,25.43726715528529,0.3204732846370013
1.08,25.447573590760136,0.3238707454578219
1.09,25.45799216202101,0.32728043233346776
1.1,25.46852336634044,0.3307025084278778
1.11,25.4791677078556,0.3341371385520076
1.12,25.48992569764383,0.33758448919286826
1.1300000000000001,25.500797853799362,0.3410447285430702
1.1400000000000001,25.511784701511544,0.34451802653088676
1.1500000000000001,25.52288677314436,0.34800455485084536
1.16,25.53410460831748,0.3515044869948625
1.17,25.545438753988645,0.3550179982839325
1.18,25.556889764537633,0.35854526590038227
1.19,25.56845820185164,0.36208646892070656
1.2,25.58014463541226,0.3656417883489975
1.21,25.59194964238395,0.36921140715097867
1.22,25.60387380770416,0.372795510288662
1.23,25.61591772417505,0.37639428475563896
1.24,25.628081992556773,0.38000791961302155
1.25,25.640367221662586,0.38363660602604804
1.26,25.652774028455536,0.38728053730136963
1.27,25.665303038146956,0.3909399089250325
1.28,25.677954884296707,0.3946149186011725
1.29,25.69073020891523,0.39830576629143877
1.3,25.70362966256745,0.40201265425516336
1.31,25.716653904478544,0.4057357870902943
1.32,25.729803602641617,0.4094753717751101
1.33,25.74307943392732,0.4132316177107343
1.34,25.75648208419552,0.41700473676446886
1.35,25.77001224840886,0.4207949433139648
1.36,25.78367063074856,0.4246024542922522
1.37,25.797457944732127,0.42842748923364804
1.3800000000000001,25.81137491333341,0.43227027032056237
1.3900000000000001,25.82542226910468,0.4361310224312277
1.4000000000000001,25.839600754301017,0.44000997318836826
1.41,25.853911121007002,0.44390735300883816
1.42,25.868354131265637,0.44782339515424585
1.43,25.882930557209733,0.4517583357825922
1.44,25.897641181195663,0.455712414000946
1.45,25.912486795939568,0.45968587191918187
1.46,25.9274682046561,0.4636789547048057
1.47,25.942586221199754,0.467691910638896
1.48,25.95784167020876,0.4717249911731867
1.49,25.973235387251698,0.4757784509883207
1.5,25.98876821897682,0.47985254805330124
1.51,26.004441023264118,0.4839475436861729
1.52,26.020254669380353,0.4880637026159614
1.53,26.03621003813683,0.49220129304590343
1.54,26.05230802205022,0.4963605867179983
1.55,26.068549525506416,0.5005418589789161
1.56,26.084935464927415,0.5047453888472939
1.57,26.101466768941435,0.5089714590824569
1.58,26.118144378556135,0.5132203562545994
1.59,26.134969247335246,0.517492370816462
1.6,26.151942341578472,0.5217877971765464
1.61,26.169064640504843,0.5261069337738988
1.62,26.186337136439604,0.5304500831545129
1.6300000000000001,26.20376083500463,0.5348175520493846
1.6400000000000001,26.221336755312503,0.5392096514542652
1.6500000000000001,26.23906593016439,0.5436266967111576
1.6600000000000001,26.256949406251618,0.5480690075915957
1.67,26.274988244361303,0.5525369083817592
1.68,26.293183519585796,0.5570307279694673
1.69,26.31153632153632,0.561550799933102
1.7,26.330047754560727,0.5660974626325097
1.71,26.348718937965522,0.5706710593019367
1.72,26.367551006242252,0.5752719381450476
1.73,26.386545109298257,0.5799004524320847
1.74,26.40570241269208,0.5845569605992225
1.75,26.42502409787349,0.5892418263501802
1.76,26.444511362428198,0.5939554187601463
1.77,26.46416542032752,0.5986981123820819
1.78,26.48398750218297,0.6034702873554638
1.79,26.50397885550592,0.6082723295175343
1.8,26.52414074497251,0.6131046305171272
1.81,26.544474452693848,0.6179675879311334
1.82,26.56498127849166,0.6228616053836876
1.83,26.5856625401795,0.6277870926681405
1.84,26.60651957384969,0.6327444658718994
1.85,26.62755373416605,0.6377341475042146
1.86,26.648766394662637,0.6427565666269915
1.87,26.670158948048563,0.6478121589887104
1.8800000000000001,26.691732806519088,0.6529013671615475
1.8900000000000001,26.713489402073083,0.6580246406817765
1.9000000000000001,26.735430186837082,0.6631824361935502
1.9100000000000001,26.757556633395996,0.6683752175961547
1.92,26.779870235130762,0.6736034561948299
1.93,26.80237250656295,0.678867630855265
1.94,26.825064983706614,0.6841682281618653
1.95,26.84794922442753,0.6895057425799032
1.96,26.871026808809912,0.694880676621661
1.97,26.894299339531,0.7002935410166824
1.98,26.91776844224344,0.7057448548862478
1.99,26.941435765965835,0.7112351459221995
2.0,26.965302983481674,0.7167649505702388
2.0100000000000002,26.989371791746663,0.7223348142178267
2.02,27.01364391230492,0.7279452913868247
2.0300000000000002,27.03812109171402,0.7335969459310107
2.04,27.062805101979276,0.7392903512386148
2.05,27.08769774099741,0.7450260904400258
2.06,27.112800833009853,0.7508047566208181
2.07,27.13811622906596,0.7566269530402574
2.08,27.163645807496287,0.7624932933554527
2.09,27.18939147439638,0.7684044018513184
2.1,27.215355164121092,0.7743609136765242
2.11,27.241538839789893,0.7803634750856157
2.12,27.267944493803384,0.7864127436874867
2.13,27.29457414837131,0.7925093887004014
2.14,27.32142985605234,0.7986540912137673
2.15,27.348513700305986,0.80484754445686
2.16,27.37582779605688,0.8110904540747199
2.17,27.403374290271827,0.8173835384114382
2.18,27.431155362549955,0.823727528801067
2.19,27.459173225726214,0.8301231698663811
2.2,27.487430126488697,0.8365712198257502
2.21,27.51592834601005,0.8430724508083615
2.22,27.544670200593483,0.8496276491780703
2.23,27.573658042333516,0.8562376158661393
2.24,27.602894259792226,0.8629031667131579
